d1_lower_threshold,registered_g_lower_threshold,passing_cell_count,diversity_passed,accuracy_complement_passed,paper_gate_passed,passing_cells
0.04,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.04,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.04,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.04,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.04,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.04,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.04,0.07,0,False,False,False,
0.04,0.08,0,False,False,False,
0.06,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.06,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.06,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.06,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.06,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.06,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.06,0.07,0,False,False,False,
0.06,0.08,0,False,False,False,
0.08,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.08,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.08,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.08,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.08,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.08,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.08,0.07,0,False,False,False,
0.08,0.08,0,False,False,False,
0.1,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.1,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.1,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.1,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.1,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.1,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.1,0.07,0,False,False,False,
0.1,0.08,0,False,False,False,
0.12,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.12,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.12,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.12,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.12,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.12,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.12,0.07,0,False,False,False,
0.12,0.08,0,False,False,False,
0.14,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.14,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.14,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.14,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.14,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.14,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.14,0.07,0,False,False,False,
0.14,0.08,0,False,False,False,
0.16,0.01,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.16,0.02,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.16,0.03,3,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse;timesfm_3/biphasic_rebound
0.16,0.04,2,True,True,True,chronos_2/biphasic_rebound;chronos_2/dispersed_delayed_pulse
0.16,0.05,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.16,0.06,1,False,True,False,chronos_2/dispersed_delayed_pulse
0.16,0.07,0,False,False,False,
0.16,0.08,0,False,False,False,
